loggingTime(txt),loggingSample(N),accelerometerTimestamp_sinceReboot(s),accelerometerAccelerationX(G),accelerometerAccelerationY(G),accelerometerAccelerationZ(G),gyroTimestamp_sinceReboot(s),gyroRotationX(rad/s),gyroRotationY(rad/s),gyroRotationZ(rad/s),magnetometerTimestamp_sinceReboot(s),magnetometerX(µT),magnetometerY(µT),magnetometerZ(µT),label(N)
2023-02-19T21:11:28.219Z,1,2066843.648,0.69468689,-0.248779297,-0.621612549,2066843.646,0.044502221,-0.08140298,-0.177850962,2066843.619,191.0616608,113.1463013,-480.2446594,3
2023-02-19T21:11:28.227Z,2,2066843.668,0.656219482,-0.295471191,-0.630874634,2066843.666,0.072093636,-0.155920625,-0.191086873,2066843.639,190.898407,113.2714386,-480.222229,3
2023-02-19T21:11:28.247Z,3,2066843.688,0.668685913,-0.291870117,-0.658157349,2066843.686,0.072588451,-0.18779546,-0.244468331,2066843.659,191.0544586,113.4646606,-480.2865601,3
2023-02-19T21:11:28.266Z,4,2066843.708,0.676864624,-0.307128906,-0.662826538,2066843.706,0.071311727,-0.231006846,-0.263231099,2066843.678,190.8173065,113.5171661,-480.506012,3
2023-02-19T21:11:28.287Z,5,2066843.728,0.68081665,-0.325027466,-0.674194336,2066843.726,0.039185751,-0.244078979,-0.25167352,2066843.718,190.4779968,113.7562408,-480.8663025,3
2023-02-19T21:11:28.307Z,6,2066843.748,0.660354614,-0.323013306,-0.654449463,2066843.746,0.046324622,-0.182681397,-0.21991612,2066843.738,190.4542236,113.8367615,-481.0323486,3
2023-02-19T21:11:28.327Z,7,2066843.768,0.640075684,-0.325561523,-0.640380859,2066843.766,0.06115843,-0.119406819,-0.183223084,2066843.757,190.4403381,114.0526276,-480.9937439,3
2023-02-19T21:11:28.347Z,8,2066843.788,0.658462524,-0.323410034,-0.644897461,2066843.786,0.06593854,-0.064585648,-0.18365638,2066843.777,190.1037445,114.1129913,-481.1626282,3
2023-02-19T21:11:28.367Z,9,2066843.808,0.681991577,-0.317764282,-0.668151855,2066843.806,0.068759091,-0.063461527,-0.185506478,2066843.797,190.2326508,114.1082458,-481.0756226,3
2023-02-19T21:11:28.387Z,10,2066843.828,0.705307007,-0.314926147,-0.692123413,2066843.826,0.066076487,-0.153918192,-0.179334074,2066843.816,189.8507233,114.0792999,-481.2119751,3
2023-02-19T21:11:28.407Z,11,2066843.848,0.697982788,-0.310256958,-0.676605225,2066843.846,0.083905287,-0.211592406,-0.1719217,2066843.836,189.918869,114.3784943,-481.297699,3
2023-02-19T21:11:28.427Z,12,2066843.868,0.664428711,-0.317642212,-0.657623291,2066843.866,0.096546248,-0.146187574,-0.159521222,2066843.856,189.7971344,114.3226624,-481.6204224,3
2023-02-19T21:11:28.447Z,13,2066843.888,0.664016724,-0.317001343,-0.675003052,2066843.886,0.100901581,-0.091081172,-0.14472869,2066843.875,189.4995422,114.365509,-481.5361328,3
2023-02-19T21:11:28.467Z,14,2066843.908,0.68170166,-0.305999756,-0.68536377,2066843.906,0.112576343,-0.068520203,-0.127854362,2066843.895,189.8350525,114.5091705,-481.6552429,3
2023-02-19T21:11:28.487Z,15,2066843.928,0.685791016,-0.300231934,-0.680007935,2066843.926,0.130303144,-0.074911788,-0.113020293,2066843.915,189.6784668,114.363327,-481.5794983,3
2023-02-19T21:11:28.507Z,16,2066843.948,0.672714233,-0.305999756,-0.673706055,2066843.946,0.140037268,-0.065225877,-0.107769608,2066843.935,189.7328491,114.561203,-481.7598877,3
2023-02-19T21:11:28.527Z,17,2066843.968,0.67956543,-0.307678223,-0.676925659,2066843.966,0.155463353,-0.060689978,-0.098837361,2066843.954,189.4658966,114.384491,-482.0719604,3
2023-02-19T21:11:28.547Z,18,2066843.988,0.679336548,-0.309860229,-0.675079346,2066843.986,0.168878496,-0.05684118,-0.114476509,2066843.974,189.3971252,114.7734375,-482.0865173,3
2023-02-19T21:11:28.567Z,19,2066844.008,0.670349121,-0.316421509,-0.661239624,2066844.006,0.17871888,-0.023893615,-0.110627979,2066843.994,189.455658,114.3592072,-481.9611816,3
2023-02-19T21:11:28.587Z,20,2066844.028,0.671340942,-0.319244385,-0.649414063,2066844.026,0.174179256,0.0133704,-0.104630269,2066844.013,189.486908,114.2763824,-481.9955444,3
2023-02-19T21:11:28.607Z,21,2066844.048,0.680938721,-0.328414917,-0.651168823,2066844.046,0.162721008,-0.003368632,-0.083738305,2066844.033,189.258255,114.4091187,-482.0692444,3
2023-02-19T21:11:28.627Z,22,2066844.068,0.69052124,-0.331634521,-0.662582397,2066844.066,0.143619746,-0.063726246,-0.050127883,2066844.053,189.4523468,114.2691498,-481.8592529,3
2023-02-19T21:11:28.647Z,23,2066844.088,0.680221558,-0.321990967,-0.651489258,2066844.086,0.13526994,-0.084123135,-0.039780702,2066844.073,189.1453094,114.2626953,-482.0478516,3
2023-02-19T21:11:28.667Z,24,2066844.108,0.667724609,-0.323196411,-0.640472412,2066844.106,0.123470806,-0.0710297,-0.011586881,2066844.092,189.2198029,114.1598358,-482.0526123,3
2023-02-19T21:11:28.687Z,25,2066844.128,0.663803101,-0.322311401,-0.648544312,2066844.126,0.105813518,-0.068219803,-0.001279649,2066844.112,189.4153595,114.246582,-482.2559204,3
2023-02-19T21:11:28.707Z,26,2066844.148,0.659790039,-0.323654175,-0.639160156,2066844.146,0.094931841,-0.007347129,-0.013571735,2066844.132,189.0018311,114.2094727,-482.2444153,3
2023-02-19T21:11:28.727Z,27,2066844.168,0.653152466,-0.327590942,-0.634628296,2066844.166,0.082511917,0.009380719,-0.012368785,2066844.151,189.2150116,114.1371765,-482.2323608,3
2023-02-19T21:11:28.747Z,28,2066844.188,0.660003662,-0.327438354,-0.633331299,2066844.186,0.066525497,0.013196762,-0.01139327,2066844.171,189.0936432,113.8854218,-482.2548218,3
2023-02-19T21:11:28.767Z,29,2066844.208,0.670974731,-0.327606201,-0.637420654,2066844.206,0.054011036,0.024413731,-0.025951173,2066844.191,189.0227203,113.9455261,-482.145752,3
2023-02-19T21:11:28.787Z,30,2066844.228,0.679641724,-0.333175659,-0.641098022,2066844.226,0.03151425,0.026762372,-0.03760064,2066844.21,188.8303528,113.6695099,-482.086853,3
2023-02-19T21:11:28.807Z,31,2066844.248,0.685379028,-0.33366394,-0.633636475,2066844.246,0.026656112,0.01321141,-0.04089044,2066844.23,189.0037842,113.8205872,-482.2929688,3
2023-02-19T21:11:28.827Z,32,2066844.268,0.681045532,-0.337219238,-0.630142212,2066844.266,0.02306404,0.022861639,-0.031559523,2066844.25,189.0788727,114.0399017,-482.2946167,3
2023-02-19T21:11:28.847Z,33,2066844.288,0.699279785,-0.335037231,-0.634887695,2066844.286,0.026575685,0.025753833,-0.023443807,2066844.27,188.9946899,113.8885193,-482.2073975,3
2023-02-19T21:11:28.867Z,34,2066844.308,0.703582764,-0.328979492,-0.624908447,2066844.306,0.036892772,0.042788744,-0.02044056,2066844.289,189.3770905,113.8446503,-482.1322632,3
2023-02-19T21:11:28.887Z,35,2066844.328,0.682174683,-0.332672119,-0.612442017,2066844.326,0.030513966,0.090517916,0.000317449,2066844.309,188.9711304,113.8768768,-482.1073608,3
2023-02-19T21:11:28.907Z,36,2066844.348,0.67755127,-0.342803955,-0.627975464,2066844.346,0.009667541,0.123498239,0.036152679,2066844.329,189.3722534,113.6439056,-482.1601563,3
2023-02-19T21:11:28.927Z,37,2066844.368,0.694717407,-0.340621948,-0.65663147,2066844.366,-0.017278856,0.06788744,0.06823951,2066844.348,189.2279968,113.8496399,-482.0516357,3
2023-02-19T21:11:28.947Z,38,2066844.388,0.686309814,-0.339889526,-0.645278931,2066844.386,-0.041181792,0.018314825,0.088079788,2066844.368,189.3141327,113.7688751,-482.0751953,3
2023-02-19T21:11:28.967Z,39,2066844.408,0.653961182,-0.3384552,-0.635742188,2066844.406,-0.053397179,0.041554369,0.093758181,2066844.388,189.2817841,113.5885162,-482.1529541,3
2023-02-19T21:11:28.987Z,40,2066844.428,0.643997192,-0.340744019,-0.648849487,2066844.426,-0.061664961,0.083546825,0.085028075,2066844.407,189.2588654,113.5105438,-481.8969116,3
2023-02-19T21:11:29.007Z,41,2066844.448,0.665374756,-0.333450317,-0.677505493,2066844.446,-0.056545034,0.042454783,0.06809596,2066844.427,189.5860291,113.359787,-481.7964478,3
2023-02-19T21:11:29.027Z,42,2066844.468,0.669281006,-0.332733154,-0.677230835,2066844.466,-0.0329955,-0.030356575,0.056376722,2066844.447,189.4242706,113.4285889,-481.9028931,3
2023-02-19T21:11:29.047Z,43,2066844.488,0.664047241,-0.330886841,-0.663162231,2066844.486,-0.001568602,-0.063798688,0.032618131,2066844.467,189.2986298,113.3793488,-481.8093567,3
2023-02-19T21:11:29.067Z,44,2066844.508,0.649581909,-0.340621948,-0.651153564,2066844.506,0.033566482,0.003593936,0.010808439,2066844.486,189.5473328,113.3499756,-481.8916016,3
2023-02-19T21:11:29.087Z,45,2066844.528,0.669509888,-0.336853027,-0.653427124,2066844.526,0.070400134,0.052110605,-0.011000187,2066844.506,189.4438324,113.3364105,-482.1029053,3
2023-02-19T21:11:29.107Z,46,2066844.548,0.680007935,-0.344985962,-0.640548706,2066844.546,0.093605049,0.076342978,-0.028633242,2066844.526,189.2539978,113.4091187,-481.7827148,3
2023-02-19T21:11:29.127Z,47,2066844.568,0.687194824,-0.349380493,-0.639587402,2066844.566,0.089692332,0.051519915,-0.006321279,2066844.545,189.3344727,113.21138,-481.8575439,3
2023-02-19T21:11:29.147Z,48,2066844.588,0.699783325,-0.343093872,-0.647598267,2066844.586,0.067266122,-0.004787298,0.027608458,2066844.565,189.4862823,113.2020111,-481.7121277,3
2023-02-19T21:11:29.167Z,49,2066844.608,0.698471069,-0.338287354,-0.643066406,2066844.606,0.045924082,-0.057428405,0.069725551,2066844.585,189.4550476,113.4169769,-481.6177368,3
2023-02-19T21:11:29.187Z,50,2066844.628,0.668518066,-0.33996582,-0.613586426,2066844.626,0.038704786,-0.038091727,0.092042044,2066844.604,189.3308411,112.9150085,-481.6546021,3
2023-02-19T21:11:29.207Z,51,2066844.648,0.649215698,-0.356643677,-0.601516724,2066844.646,0.026493926,0.036220856,0.095083907,2066844.624,189.434845,113.0411224,-481.7232971,3
2023-02-19T21:11:29.227Z,52,2066844.668,0.653274536,-0.365631104,-0.619537354,2066844.666,0.010334663,0.0647007,0.082058914,2066844.644,189.6925812,112.8784637,-481.7819214,3
2023-02-19T21:11:29.247Z,53,2066844.688,0.669662476,-0.360702515,-0.639633179,2066844.687,-0.005643238,0.006187322,0.071624652,2066844.664,189.5154877,112.7815094,-481.8276978,3
